Year ending September,Area name,Total recorded crime (excluding fraud),Violence against the person,Homicide,Death or serious injury - unlawful driving,Violence with injury,Violence without injury,Stalking and harassment,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes,Population mid-year estim
2015,Gloucestershire,29387,5452,10,,3426,2016,,702,240,16273,4571,1927,2644,2763,259,1051,3370,4259,4614,961,136,673,336,
2015,Wiltshire,34959,9102,5,,4485,4612,,1260,187,15517,3858,1261,2597,2476,282,867,3709,4325,5407,1332,196,1392,566,
2015,South West,284513,70152,47,,32787,37318,,8494,1915,129800,29865,11795,18070,22897,3165,7156,29835,36882,42963,11397,1511,14683,3598,
2015,ENGLAND,3504126,831356,543,,379735,451078,,93643,49968,1656576,385080,186643,198437,342527,73799,81290,312852,461028,485884,143720,22546,165908,54525,
2015,Dyfed-Powys,20021,5263,4,,2560,2699,,850,33,6309,1315,544,771,784,69,190,1398,2553,3708,2519,119,862,358,
2015,Gwent,37306,9403,6,,4057,5340,,890,172,15737,4016,1580,2436,3392,232,379,3170,4548,6641,1845,155,1812,651,
2015,North Wales,36800,10248,6,,4815,5427,,1195,132,14662,3760,1422,2338,2052,193,570,3853,4234,6933,1574,225,1271,560,
2015,South Wales,89864,22186,14,,10581,11591,,1833,396,39876,8551,3543,5008,8692,1222,1907,8886,10618,13310,4278,430,5915,1640,
2015,WALES,183991,47100,30,,22013,25057,,4768,733,76584,17642,7089,10553,14920,1716,3046,17307,21953,30592,10216,929,9860,3209,
2015,British Transport Police,44895,6984,1,,2209,4774,,1198,321,21454,401,1,400,835,5135,4668,2118,8297,5025,1896,380,6800,837,
2015,ENGLAND AND WALES,3733012,885440,574,,403957,480909,,99609,51022,1754614,403123,193733,209390,358282,80650,89004,332277,491278,521501,155832,23855,182568,58571,
