Year ending September,Area name,Total recorded crime (excluding fraud),Violence against the person,Homicide,Death or serious injury - unlawful driving,Violence with injury,Violence without injury,Stalking and harassment,Sexual offences,Robbery,Theft offences,Burglary,Residential burglary,Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes,Population mid-year estim
2022,Humberside,96206,37027,5,5,11340,13297,12380,3314,745,26280,5355,4086,1269,4308,459,2031,7499,6628,11943,1662,501,11947,2787,
2022,North Yorkshire,48657,20750,13,5,7220,7788,5724,2130,261,12411,2128,1379,749,1661,315,1082,3311,3914,5699,1442,319,4862,783,
2022,South Yorkshire,157457,57711,25,17,16399,21121,20149,4574,1840,46983,11467,8651,2816,12643,1151,1088,8918,11716,18435,3841,1842,17203,5028,
2022,West Yorkshire,311573,131856,33,62,29663,47105,54993,9542,2878,75307,13947,9872,4075,16596,3214,2022,17463,22065,29630,8458,2629,44204,7069,
2022,East Midlands,413463,163503,49,65,47813,60354,55222,16689,3593,114504,20136,13830,6306,24054,3151,5502,27346,34315,44667,13052,4809,42191,10455,
2022,Derbyshire,83793,35614,7,13,8940,13970,12684,3512,633,20139,3762,2590,1172,4549,731,625,4024,6448,8728,2231,1001,10024,1911,
2022,Leicestershire,105199,40531,10,17,13118,12870,14516,4054,779,27961,5089,3513,1576,6688,868,2019,4094,9203,11244,3258,973,13857,2542,
2022,Lincolnshire,57261,23487,11,16,6681,9120,7659,2540,363,15972,3230,2133,1097,2503,165,908,4695,4471,6557,1358,536,5105,1343,
2022,Northamptonshire,63611,27810,7,8,7472,11148,9175,2968,778,16418,3010,2033,977,4104,356,469,3271,5208,6315,2153,937,4645,1587,
2022,Nottinghamshire,103599,36061,14,11,11602,13246,11188,3615,1040,34014,5045,3561,1484,6210,1031,1481,11262,8985,11823,4052,1362,8560,3072,
2022,West Midlands Region,594706,254980,75,69,68337,94750,91749,20453,10281,168556,32560,23595,8965,51136,5505,4717,30375,44263,52430,13068,9377,54715,10846,
2022,Staffordshire,87793,39403,9,3,11559,11665,16167,3829,914,23596,4079,2779,1300,5238,520,1031,5160,7568,8943,2120,746,6634,1608,
2022,Warwickshire,41639,16096,3,9,4681,6474,4929,1626,370,13244,2182,1479,703,4318,236,463,2228,3817,4130,944,556,3678,995,
2022,West Mercia,93590,39826,24,29,11500,14060,14213,4045,674,25797,4893,3427,1466,4994,484,709,6845,7872,9135,1997,979,9422,1715,
2022,West Midlands,371684,159655,39,28,40597,62551,56440,10953,8323,105919,21406,15910,5496,36586,4265,2514,16142,25006,30222,8007,7096,34981,6528,
2022,East,488816,199404,65,127,51001,85269,62942,19999,3920,136459,20752,13857,6895,33479,4486,7255,29564,40923,47812,15376,4871,49472,11503,
2022,Bedfordshire,52733,19084,11,24,5088,8233,5728,1756,612,17466,2847,1809,1038,5217,470,704,3609,4619,4742,1835,520,5523,1195,
2022,Cambridgeshire,69388,25684,5,42,5885,12061,7691,2768,638,21142,3374,2057,1317,4669,769,2325,3956,6049,6962,1976,780,7681,1757,
2022,Essex,168945,72663,20,19,16389,29484,26751,6553,1440,44205,6814,4909,1905,12458,1219,1565,9398,12751,15771,5357,1595,17801,3560,
2022,Hertfordshire,75720,27701,12,25,8723,12511,6430,2616,567,27774,3613,2417,1196,7268,1168,1036,6131,8558,7493,2455,574,5095,1445,
2022,Norfolk,69208,31285,11,11,8693,12735,9835,3465,359,13736,2068,1319,749,1776,419,970,3557,4946,7275,2140,793,7814,2341,
2022,Suffolk,52822,22987,6,6,6223,10245,6507,2841,304,12136,2036,1346,690,2091,441,655,2913,4000,5569,1613,609,5558,1205,
2022,London,869301,243933,106,11,77869,101365,64582,25909,26679,393472,54107,38786,15321,109204,55185,19374,37694,117908,54142,46189,6350,60363,12264,
2022,City of London,7236,1282,1,0,433,740,108,130,101,4071,279,17,262,224,1247,204,685,1432,302,577,59,504,210,
2022,Metropolitan Police,862065,242651,105,11,77436,100625,64474,25779,26578,389401,53828,38769,15059,108980,53938,19170,37009,116476,53840,45612,6291,59859,12054,
2022,South East,735161,298392,64,137,79589,121825,96777,29033,5082,200143,30839,21095,9744,46665,6670,11406,44400,60163,75681,20666,7261,83202,15701,
2022,Hampshire,178553,77294,19,22,22029,29024,26200,7555,1338,43836,8558,6031,2527,10583,1026,2629,8918,12122,16101,5366,2132,22152,2779,
2022,Kent,180349,80870,16,76,18265,35931,26582,6830,1341,45216,7003,4967,2036,9869,1046,1125,12023,14150,21427,4098,1467,13390,5710,
2022,Surrey,71621,26540,3,10,7146,11742,7639,2585,401,21420,3578,2721,857,5827,599,1113,3564,6739,7545,2296,580,8814,1440,
2022,Sussex,125181,47238,5,17,14369,18377,14470,5411,990,34825,4530,2610,1920,6394,1042,2165,9541,11153,13646,3362,1760,15197,2752,
2022,Thames Valley,179457,66450,21,12,17780,26751,21886,6652,1012,54846,7170,4766,2404,13992,2957,4374,10354,15999,16962,5544,1322,23649,3020,
2022,South West,397803,163977,54,46,47928,65628,50321,17523,3201,102014,18124,11594,6530,21009,2467,5945,23202,31267,45172,10555,3389,44132,7840,
2022,Avon and Somerset,142673,54293,19,1,13383,23267,17623,5459,1537,40071,6829,4711,2118,9068,879,2837,9176,11282,14726,2856,888,20208,2635,
2022,Devon and Cornwall,105181,47112,14,31,16270,18119,12678,5623,631,21487,3568,1625,1943,3671,592,607,5432,7617,13662,4358,1418,8460,2430,
2022,Dorset,51120,19937,6,5,6088,7919,5919,2429,370,16075,2832,1922,910,4062,404,990,3030,4757,6318,1093,316,3926,656,
2022,Gloucestershire,56602,25135,11,8,6207,8847,10062,2169,348,13292,3024,2091,933,2107,321,776,2717,4347,5354,1175,345,7477,1307,
2022,Wiltshire,42227,17500,4,1,5980,7476,4039,1843,315,11089,1871,1245,626,2101,271,735,2847,3264,5112,1073,422,4061,812,
2022,WALES,276060,117885,38,25,29880,40381,47561,10346,1040,59514,10192,7010,3182,10565,1485,2494,15939,18839,32328,7874,1744,39589,5740,
2022,Dyfed-Powys,44127,21908,10,8,4065,7325,10500,1737,85,6625,1285,923,362,638,101,177,1667,2757,4855,1882,276,5900,859,
2022,Gwent,58563,23543,12,4,6184,8189,9154,1866,306,11572,2730,1908,822,2344,201,262,2358,3677,8459,1241,358,9768,1450,
2022,North Wales,67720,32077,4,4,7301,12036,12732,2879,156,12200,2117,1466,651,1311,255,349,3794,4374,7565,1528,406,9447,1462,
2022,South Wales,105650,40357,12,9,12330,12831,15175,3864,493,29117,4060,2713,1347,6272,928,1706,8120,8031,11449,3223,704,14474,1969,
2022,British Transport Police,57975,11371,5,0,3162,7942,262,1961,1297,22383,4,4,0,1555,6221,5252,1537,7814,7151,2727,686,9967,432,
2021,ENGLAND AND WALES,4921959,1928366,666,706,499880,736185,690929,170973,61486,1361665,258594,189093,69501,342627,64570,74602,248866,372406,502138,191402,45408,548177,112344,
2021,ENGLAND,4634871,1816365,628,660,472393,696152,646532,161388,59661,1298556,248259,181820,66439,332077,60758,69309,235932,352221,466001,177610,43154,505839,106297,
2021,North East,253331,98783,20,39,24373,34297,40054,8622,1470,61229,12265,9079,3186,10986,1318,2473,15996,18191,36429,7066,1916,30580,7236,
2021,Cleveland,67850,26139,8,16,5677,9633,10805,2239,615,17246,4017,3044,973,2889,308,557,4857,4618,9187,2332,585,7597,1910,
2021,Durham,56398,24737,6,15,5038,8158,11520,1927,169,12074,2535,1809,726,2135,230,377,3293,3504,8555,1377,304,5633,1622,
2021,Northumbria,129083,47907,6,8,13658,16506,17729,4456,686,31909,5713,4226,1487,5962,780,1539,7846,10069,18687,3357,1027,17350,3704,
2021,North West,716779,291794,101,150,69208,113371,108964,23670,7549,171714,40380,30361,10019,40489,7126,6885,30492,46342,74743,26307,7039,96405,17558,
2021,Cheshire,87299,40575,5,5,9439,12950,18176,3365,414,16148,3338,2572,766,2542,262,827,3965,5214,7888,1845,332,15092,1640,
2021,Cumbria,32686,14509,5,8,3971,5316,5209,1406,147,6112,1340,868,472,697,92,188,1534,2261,4503,1025,233,4134,617,
2021,Greater Manchester,322380,121342,55,86,26351,50197,44653,10418,4897,86537,20928,16276,4652,24185,4590,3345,12401,21088,31666,8131,3908,46687,8794,
2021,Lancashire,129096,56388,18,22,15722,20297,20329,4526,969,32887,7694,5158,2536,6583,736,924,6591,10359,16085,2989,1387,10691,3174,
2021,Merseyside,145318,58980,18,29,13725,24611,20597,3955,1122,30030,7080,5487,1593,6482,1446,1601,6001,7420,14601,12317,1179,19801,3333,
2021,Yorkshire and The Humber,535525,217379,59,117,54144,77507,85552,17098,4672,130315,29859,21977,7882,28887,3169,5031,27593,35776,59384,17286,4934,69191,15266,
2021,Humberside,86906,34675,11,22,9785,12228,12629,2699,665,20779,4965,3766,1199,2998,336,1304,5466,5710,10619,2235,580,12077,2577,
2021,North Yorkshire,43445,18181,4,14,6270,6675,5218,1843,231,10502,2070,1281,789,1455,135,935,2866,3041,5424,1798,366,4236,864,
2021,South Yorkshire,137761,50233,17,13,13235,17676,19292,4126,1466,38838,10117,7394,2723,10585,720,985,6881,9550,16168,4679,1701,15718,4832,
2021,West Yorkshire,267413,114290,27,68,24854,40928,48413,8430,2310,60196,12707,9536,3171,13849,1978,1807,12380,17475,27173,8574,2287,37160,6993,
2021,East Midlands,375262,150064,60,34,42721,51953,55296,14552,3115,97760,18537,13249,5288,20875,2254,5017,23135,27942,41287,14129,3971,40369,10015,
2021,Derbyshire,81054,33852,15,9,8536,12598,12694,3019,594,19330,3992,2865,1127,4072,487,735,4360,5684,8861,2660,843,9859,2036,
2021,Leicestershire,92207,36723,15,13,12238,9807,14650,3715,723,21769,3931,2890,1041,5357,604,1550,3293,7034,9969,3641,824,12410,2433,
2021,Lincolnshire,50691,20504,16,5,5494,7648,7341,2076,298,13716,2950,2046,904,2145,134,811,3829,3847,5975,1606,499,4758,1259,
2021,Northamptonshire,61437,27332,8,2,7119,10495,9708,2715,718,14853,2965,2051,914,3817,277,639,2739,4416,5925,1981,733,5650,1530,
2021,Nottinghamshire,89873,31653,6,5,9334,11405,10903,3027,782,28092,4699,3397,1302,5484,752,1282,8914,6961,10557,4241,1072,7692,2757,
2021,West Midlands Region,509580,229237,100,82,57827,83651,87577,18134,8868,134045,28015,20804,7211,39580,3607,4171,24423,34249,42496,12020,6720,47639,10421,
2021,Staffordshire,68107,31121,17,1,7597,10065,13441,2683,657,18089,3031,2047,984,3876,312,662,4432,5776,8019,1289,529,4516,1204,
2021,Warwickshire,37280,15342,12,12,4082,6006,5230,1435,324,10767,1858,1282,576,3086,161,356,2174,3132,3563,1255,428,3317,849,
2021,West Mercia,77714,33624,19,25,9370,11962,12248,3560,480,20624,4501,3234,1267,3614,386,628,5305,6190,8134,2489,798,6438,1567,
2021,West Midlands,326479,149150,52,44,36778,55618,56658,10456,7407,84565,18625,14241,4384,29004,2748,2525,12512,19151,22780,6987,4965,33368,6801,
2021,East,452963,187499,56,77,43918,77959,65489,17147,3632,119708,19577,13557,6020,30536,3228,7762,25271,33334,44903,16824,3751,48323,11176,
2021,Bedfordshire,48787,17839,9,11,4401,7631,5787,1542,519,15427,2746,1862,884,4726,370,726,3115,3744,4733,1761,429,5474,1063,
2021,Cambridgeshire,62955,23646,8,22,4940,11385,7291,2332,641,18523,3176,1878,1298,3921,539,2957,2922,5008,6683,2004,641,6830,1655,
2021,Essex,154561,68672,21,18,13977,26379,28277,5760,1293,37042,6181,4659,1522,10664,970,1489,7661,10077,14134,6112,1188,16962,3398,
2021,Hertfordshire,72415,25908,4,19,7806,11532,6547,2243,608,26096,3514,2461,1053,7232,801,1131,6407,7011,7183,2750,569,5494,1564,
2021,Norfolk,65950,30734,7,6,7524,12139,11058,2819,321,11611,1975,1361,614,1619,285,923,2673,4136,6993,2427,524,8184,2337,
2021,Suffolk,48295,20700,7,1,5270,8893,6529,2451,250,11009,1985,1336,649,2374,263,536,2493,3358,5177,1770,400,5379,1159,
2021,London,771092,227526,130,0,68780,90772,67844,22026,22937,324163,54442,41473,12969,99604,33090,22280,33674,81073,51512,47195,5807,58147,11779,
2021,City of London,4075,602,0,0,172,341,89,65,89,1948,127,18,109,114,429,253,559,466,194,612,40,342,183,
2021,Metropolitan Police,767017,226924,130,0,68608,90431,67755,21961,22848,322215,54315,41455,12860,99490,32661,22027,33115,80607,51318,46583,5767,57805,11596,
2021,South East,670704,272339,56,114,69653,111329,91187,25551,4479,172472,29109,20832,8277,41358,5129,10535,37006,49335,71887,24834,6112,77031,15999,
2021,Hampshire,154108,63840,14,12,18500,25164,20150,6280,1193,37801,8032,5722,2310,8853,780,2330,8414,9392,15054,5847,1802,19732,2559,
2021,Kent,171307,79641,9,48,16822,33984,28778,6277,1121,37549,6452,4940,1512,8178,818,1024,9374,11703,20782,4376,1207,14489,5865,
2021,Surrey,67294,24820,3,14,6617,10330,7856,2286,388,18626,3414,2658,756,5287,378,982,3036,5529,7495,2998,550,8631,1500,
2021,Sussex,112112,42466,10,33,12237,17038,13148,4712,823,29800,4216,2557,1659,6619,803,1985,7180,8997,12680,4530,1432,12832,2837,
2021,Thames Valley,165883,61572,20,7,15477,24813,21255,5996,954,48696,6995,4955,2040,12421,2350,4214,9002,13714,15876,7083,1121,21347,3238,
2021,South West,349635,141744,46,47,41769,55313,44569,14588,2939,87150,16075,10488,5587,19762,1837,5155,18342,25979,43360,11949,2904,38154,6847,
2021,Avon and Somerset,127181,47260,12,1,11292,19991,15964,4652,1446,34130,6144,4498,1646,8846,828,2477,6735,9100,14226,3243,832,19074,2318,
2021,Devon and Cornwall,95690,42988,20,31,14309,15805,12823,4785,501,18251,3329,1574,1755,3215,415,475,4225,6592,13126,4721,1173,7939,2206,
2021,Dorset,48415,18754,3,0,5529,7269,5953,2045,371,14894,2800,1756,1044,3747,267,1202,2487,4391,6422,1229,283,3864,553,
2021,Gloucestershire,40424,16829,10,14,5139,5736,5930,1594,304,10537,2201,1599,602,1997,174,485,2496,3184,4707,1453,283,3734,983,
2021,Wiltshire,37925,15913,1,1,5500,6512,3899,1512,317,9338,1601,1061,540,1957,153,516,2399,2712,4879,1303,333,3543,787,
2021,WALES,245362,103864,36,46,25334,34228,44220,8495,1005,51383,10334,7272,3062,9862,930,2156,12131,15970,28854,10119,1479,34561,5602,
2021,Dyfed-Powys,38196,18749,3,4,3391,6168,9183,1454,47,5714,1299,938,361,646,96,146,1219,2308,4098,1843,249,5230,812,
2021,Gwent,49478,19113,7,7,5023,6412,7664,1490,265,10394,2464,1814,650,2262,133,324,2115,3096,7360,1606,243,7594,1413,
2021,North Wales,58748,28328,12,9,6193,10493,11621,2278,209,9993,1920,1329,591,1135,124,291,2871,3652,6586,1704,291,7999,1360,
2021,South Wales,98940,37674,14,26,10727,11155,15752,3273,484,25282,4651,3191,1460,5819,577,1395,5926,6914,10810,4966,696,13738,2017,
2021,British Transport Police,41726,8137,2,0,2153,5805,177,1090,820,11726,1,1,0,688,2882,3137,803,4215,7283,3673,775,7777,445,
2020,ENGLAND AND WALES,4961284,1791757,698,799,513174,721106,555980,153136,75070,1588165,325434,233194,92240,397985,80702,81536,284622,417886,521383,198780,46679,477449,108865,
2020,ENGLAND,4661583,1684628,676,770,484280,679902,519000,143682,73189,1505789,313045,224774,88271,385262,71481,75091,268207,392703,484125,184831,44220,438688,102431,
2020,North East,263102,96457,26,28,24172,34319,37912,7750,1551,73109,14871,10622,4249,13467,1732,2727,18625,21687,37976,6921,1994,30031,7313,
2020,Cleveland,65829,24032,10,7,5507,9242,9266,1836,604,18777,4625,3549,1076,3313,388,589,4914,4948,9662,2112,608,6306,1892,
2020,Durham,61445,26203,3,7,5322,8594,12277,1837,206,15538,3631,2486,1145,2782,211,398,4043,4473,8620,1463,288,5516,1774,
2020,Northumbria,135828,46222,13,14,13343,16483,16369,4077,741,38794,6615,4587,2028,7372,1133,1740,9668,12266,19694,3346,1098,18209,3647,
2020,North West,671175,249964,106,162,67996,102157,79543,20068,8229,194397,47102,34296,12806,45773,8465,8007,34629,50421,75978,26118,6784,74257,15380,
2020,Cheshire,91588,39593,15,3,9854,13901,15820,2948,443,19685,4059,3036,1023,3097,393,1283,5227,5626,9319,1967,383,15399,1851,
2020,Cumbria,35525,15359,7,20,4297,5794,5241,1352,121,7270,1881,1199,682,884,90,219,1767,2429,5110,1049,264,4357,643,
2020,Greater Manchester,278276,88870,47,69,24171,39323,25260,8361,5496,96527,23502,17629,5873,26853,5583,3834,13858,22897,30442,7341,3580,30538,7121,
2020,Lancashire,131118,55362,22,34,15377,22026,17903,4034,979,37901,9648,6274,3374,7478,728,1068,7291,11688,16317,2828,1125,9628,2944,
2020,Merseyside,134668,50780,15,36,14297,21113,15319,3373,1190,33014,8012,6158,1854,7461,1671,1603,6486,7781,14790,12933,1432,14335,2821,
2020,Yorkshire and The Humber,544518,206834,56,138,55617,76384,74639,16669,5402,155469,38945,28349,10596,34976,4458,5152,32262,39676,61152,16266,4704,62617,15405,
2020,Humberside,92139,34188,5,26,10196,13117,10844,2886,806,26153,6740,5187,1553,4157,409,1334,7070,6443,11662,1874,551,11539,2480,
2020,North Yorkshire,42879,16559,5,31,5955,6382,4186,1661,220,12965,2836,1739,1097,2056,255,968,3295,3555,5211,1759,367,3153,984,
2020,South Yorkshire,140559,48626,20,19,13929,15641,19017,4181,1597,44489,11780,8365,3415,11679,1169,957,8136,10768,16095,4007,1615,15462,4487,
2020,West Yorkshire,268941,107461,26,62,25537,41244,40592,7941,2779,71862,17589,13058,4531,17084,2625,1893,13761,18910,28184,8626,2171,32463,7454,
2020,East Midlands,381606,143832,54,67,44932,53561,45218,12964,3761,114474,24406,16787,7619,27284,3201,5490,24153,29940,42495,14162,3954,35869,10095,
2020,Derbyshire,78761,32183,13,7,9980,11776,10407,2674,688,20584,4487,3182,1305,4645,556,918,4245,5733,8920,2612,837,8290,1973,
2020,Leicestershire,89709,32481,8,28,10771,11335,10339,2731,895,26739,5677,4034,1643,7605,714,1376,3737,7630,10174,3115,781,10649,2144,
2020,Lincolnshire,54060,20975,10,0,5836,8517,6612,2072,308,15836,3816,2542,1274,2607,162,942,4251,4058,6234,1832,617,4843,1343,
2020,Northamptonshire,62468,25983,10,12,7566,10571,7824,2547,868,17873,3954,2322,1632,5084,290,735,3099,4711,6256,2063,637,4603,1638,
2020,Nottinghamshire,96608,32210,13,20,10779,11362,10036,2940,1002,33442,6472,4707,1765,7343,1479,1519,8821,7808,10911,4540,1082,7484,2997,
2020,West Midlands Region,451446,183418,91,52,56520,70136,56619,14998,8663,143211,33453,24564,8889,41426,3568,4299,26113,34352,41677,11522,5042,34174,8741,
2020,Staffordshire,75677,31736,16,5,8133,12021,11561,2751,648,22399,4146,2726,1420,5031,415,843,5183,6781,9622,1877,632,4485,1527,
2020,Warwickshire,40898,15350,9,10,4526,6301,4504,1438,353,14454,2884,2056,828,4315,279,453,2819,3704,3914,1211,518,2790,870,
2020,West Mercia,80514,33964,15,11,10376,12708,10854,3288,579,23708,5576,3876,1700,4229,484,894,6077,6448,8821,2646,892,5197,1419,
2020,West Midlands,254357,102368,51,26,33485,39106,29700,7521,7083,82650,20847,15906,4941,27851,2390,2109,12034,17419,19320,5788,3000,21702,4925,
2020,East,473205,181968,93,146,45306,81215,55208,15641,4307,141250,27129,19188,7941,35378,4239,9477,28561,36466,50102,18586,4159,45844,11348,
2020,Bedfordshire,52744,17369,2,20,4479,7840,5028,1548,716,19469,3936,2911,1025,6131,526,1001,3379,4496,5236,1839,356,5195,1016,
2020,Cambridgeshire,65263,22754,14,60,5161,11391,6128,2153,608,21810,4222,2779,1443,4547,690,3519,3358,5474,7435,2013,639,6281,1570,
2020,Essex,159611,66119,61,27,14800,27138,24093,4795,1373,43064,8631,6388,2243,12388,1123,1925,8386,10611,16172,7020,1435,16001,3632,
2020,Hertfordshire,77237,26576,4,22,8090,12318,6142,2024,867,28868,4719,3391,1328,7522,976,1329,6863,7459,7949,2997,607,5706,1643,
2020,Norfolk,65020,27075,5,12,7126,12354,7578,2796,394,14493,2745,1823,922,2035,497,967,3696,4553,7406,2841,626,7145,2244,
2020,Suffolk,53330,22075,7,5,5650,10174,6239,2325,349,13546,2876,1896,980,2755,427,736,2879,3873,5904,1876,496,5516,1243,
2020,London,827322,221930,129,0,71925,91709,58167,19014,31655,375592,66526,49988,16538,114944,37160,22093,38323,96546,52358,53664,6664,55161,11284,
2020,City of London,6086,832,2,0,255,480,95,55,99,3601,257,15,242,193,632,404,678,1437,223,653,66,333,224,
2020,Metropolitan Police,821236,221098,127,0,71670,91229,58072,18959,31556,371991,66269,49973,16296,114751,36528,21689,37645,95109,52135,53011,6598,54828,11060,
2020,South East,691436,264067,79,119,74622,115542,73705,23822,6129,206523,39893,28138,11755,49969,6280,11919,43933,54529,77942,24790,7839,63881,16443,
2020,Hampshire,152756,59695,17,31,19629,24138,15880,5583,1446,42728,9626,6662,2964,9332,930,2588,9943,10309,15871,5525,1831,17313,2764,
2020,Kent,178192,76636,20,52,18110,35514,22940,6031,1575,46566,8497,6322,2175,10928,1056,1310,11509,13266,21221,4394,1625,14592,5552,
2020,Surrey,73540,24894,6,12,7037,10938,6901,2066,434,22771,5201,4087,1114,6270,494,1159,3458,6189,9073,3407,668,8531,1696,
2020,Sussex,119900,43425,21,9,13905,18004,11486,4551,1212,35492,6813,4253,2560,7427,1084,2257,7933,9978,13974,4594,1838,12014,2800,
2020,Thames Valley,167048,59417,15,15,15941,26948,16498,5591,1462,58966,9756,6814,2942,16012,2716,4605,11090,14787,17803,6870,1877,11431,3631,
2020,South West,357773,136158,42,58,43190,54879,37989,12756,3492,101764,20720,12842,7878,22045,2378,5927,21608,29086,44445,12802,3080,36854,6422,
2020,Avon and Somerset,132230,45816,10,2,11885,20130,13789,4001,1844,39494,7807,5444,2363,9095,1024,2695,8155,10718,14762,3810,946,19324,2233,
2020,Devon and Cornwall,95136,40889,15,47,14469,15512,10846,4152,605,21107,4377,1984,2393,3827,480,640,4767,7016,13616,4479,1186,7085,2017,
2020,Dorset,51088,19656,7,3,5838,8277,5531,1895,388,16351,3315,1917,1398,4047,403,1177,2854,4555,6927,1412,358,3438,663,
2020,Gloucestershire,39909,14568,7,5,5427,4694,4435,1300,348,13081,2961,2059,902,2730,224,800,2793,3573,4638,1423,292,3541,718,
2020,Wiltshire,39410,15229,3,1,5571,6266,3388,1408,307,11731,2260,1438,822,2346,247,615,3039,3224,4502,1678,298,3466,791,
2020,WALES,245591,97576,20,29,26342,34415,36770,8200,1010,60316,12388,8419,3969,11451,1438,2383,14837,17819,30023,10644,1619,30387,5816,
2020,Dyfed-Powys,31554,14156,6,0,3302,5619,5229,1202,60,6153,1426,954,472,778,76,107,1383,2383,3852,2158,273,2828,872,
2020,Gwent,52873,19536,3,5,5251,6433,7844,1394,268,12698,3123,2253,870,2715,244,283,2775,3558,7535,1680,236,7994,1532,
2020,North Wales,57782,26392,3,9,6381,10854,9145,2356,221,11673,2524,1744,780,1451,148,358,3216,3976,6976,1813,349,6648,1354,
2020,South Wales,103382,37492,8,15,11408,11509,14552,3248,461,29792,5315,3468,1847,6507,970,1635,7463,7902,11660,4993,761,12917,2058,
2020,British Transport Police,54110,9553,2,0,2552,6789,210,1254,871,22060,1,1,0,1272,7783,4062,1578,7364,7235,3305,840,8374,618,
2019,ENGLAND AND WALES,5000036,1630163,617,673,515095,664818,448960,154229,82542,1880780,380567,265922,114645,441351,104832,91288,351874,510868,531662,163997,43824,414478,98361,
2019,ENGLAND,4667147,1519302,574,630,483211,619545,415342,143109,80619,1773207,364894,255709,109185,425368,93596,82090,329185,478074,491173,151962,41089,374811,91875,
2019,North East,284841,95899,30,34,24857,36665,34313,8497,1692,91764,17668,11711,5957,15707,2311,3055,26593,26430,40660,6151,2024,31295,6859,
2019,Cleveland,69662,23507,12,9,5812,8622,9052,1878,645,24777,5329,3899,1430,4057,532,847,7966,6046,9871,1532,533,5076,1843,
2019,Durham,63425,25277,8,20,5749,8892,10608,1951,216,18171,4120,2868,1252,2989,261,449,5109,5243,9360,1469,338,4920,1723,
2019,Northumbria,151754,47115,10,5,13296,19151,14653,4668,831,48816,8219,4944,3275,8661,1518,1759,13518,15141,21429,3150,1153,21299,3293,
2019,North West,419382,155722,61,34,47493,61866,46268,12705,3346,125508,29072,20111,8961,24679,4671,4989,26513,35584,49415,15696,2831,45738,8421,
2019,Cheshire,94180,35224,6,3,10235,13535,11445,2942,530,24368,4553,3177,1376,3736,725,1454,6750,7150,9797,2131,491,16852,1845,
2019,Cumbria,37855,15465,5,16,4873,6020,4551,1639,157,9171,2027,1236,791,1139,164,243,2498,3100,5578,968,277,3793,807,
2019,Greater Manchester,,,,,,,,,,,,,,,,,,,,,,,,
2019,Lancashire,153309,58955,26,3,17740,23246,17940,4835,1262,50826,13011,8761,4250,10035,1354,1536,9190,15700,18626,2373,866,12567,2999,
2019,Merseyside,134038,46078,24,12,14645,19065,12332,3289,1397,41143,9481,6937,2544,9769,2428,1756,8075,9634,15414,10224,1197,12526,2770,
2019,Yorkshire and The Humber,589248,205645,75,126,59541,78270,67633,17580,6649,203466,51874,36881,14993,44239,7243,6422,43394,50294,66609,13474,4859,56044,14922,
2019,Humberside,102595,34898,11,31,11099,13592,10165,3127,931,35706,8214,5938,2276,6069,733,2185,10696,7809,13090,1625,582,10100,2536,
2019,North Yorkshire,47368,16056,3,15,6067,6379,3592,1999,235,17353,4070,2521,1549,2263,508,1145,4620,4747,6020,1570,317,2845,973,
2019,South Yorkshire,143881,45044,22,33,14442,13960,16587,3901,1681,54389,15089,10523,4566,13453,1761,1072,9918,13096,17238,3182,1620,12685,4141,
2019,West Yorkshire,295404,109647,39,47,27933,44339,37289,8553,3802,96018,24501,17899,6602,22454,4241,2020,18160,24642,30261,7097,2340,30414,7272,
2019,East Midlands,393527,130159,50,49,43966,53328,32766,13457,4282,146485,31481,21275,10206,34651,4661,6974,32620,36098,44715,13107,3946,28148,9228,
2019,Derbyshire,70699,24427,10,4,10156,8337,5920,2488,692,25296,5964,4031,1933,5225,700,1025,5639,6743,8487,2251,712,4798,1548,
2019,Leicestershire,93499,29266,8,23,7176,14606,7453,2823,1094,35945,7949,5661,2288,10388,1229,1959,5804,8616,10569,2710,818,8152,2122,
2019,Lincolnshire,59350,21447,17,12,6190,9849,5379,2339,372,19626,4281,2919,1362,3128,282,1046,5572,5317,6889,1898,562,4928,1289,
2019,Northamptonshire,61245,21337,9,6,7498,9308,4516,2412,873,23809,5727,3516,2211,7250,523,837,4335,5137,6536,1565,635,2749,1329,
2019,Nottinghamshire,108734,33682,6,4,12946,11228,9498,3395,1251,41809,7560,5148,2412,8660,1927,2107,11270,10285,12234,4683,1219,7521,2940,
2019,West Midlands Region,473014,161581,69,82,58002,61245,42183,15726,11009,183870,43399,31769,11630,50169,5053,5263,36438,43548,49308,10594,5021,27555,8350,
2019,Staffordshire,80347,30311,6,6,9519,10994,9786,3086,920,27629,5061,3252,1809,5084,601,924,7756,8203,9832,1995,748,3995,1831,
2019,Warwickshire,42095,13964,4,8,4648,5848,3456,1381,494,17668,4052,2942,1110,4630,419,654,3301,4612,4322,885,435,2241,705,
2019,West Mercia,88384,33267,11,27,10791,12950,9488,3558,660,31241,7171,5054,2117,5796,791,982,7949,8552,9812,2189,936,5192,1529,
2019,West Midlands,262188,84039,48,41,33044,31453,19453,7701,8935,107332,27115,20521,6594,34659,3242,2703,17432,22181,25342,5525,2902,16127,4285,
2019,East,501115,169486,63,115,46947,74638,47723,16505,5556,180735,35423,24519,10904,44540,5526,12209,37512,45525,53989,15984,4734,42741,11385,
